id,text,embedding_text
chunk:chapter I|article 5|clause 1:1,"1. Người nộp thuế gặp khó khăn do thiên tai, dịch bệnh, hoả hoạn, tai nạn, bệnh hiểm nghèo ảnh hưởng đến khả năng nộp thuế thì được giảm thuế","[chapter I | article 5 | clause 1] 1. Người nộp thuế gặp khó khăn do thiên tai, dịch bệnh, hoả hoạn, tai nạn, bệnh hiểm nghèo ảnh hưởng đến khả năng nộp thuế thì được giảm thuế"
chunk:chapter I|article 5|clause 1:2,thuế thì được giảm thuế tương ứng với mức độ thiệt hại nhưng không vượt quá số thuế phải nộp.,[chapter I | article 5 | clause 1] thuế thì được giảm thuế tương ứng với mức độ thiệt hại nhưng không vượt quá số thuế phải nộp.
chunk:chapter I|article 5|clause 2|point a:1,a) Thu nhập từ dự án hoạt động công nghiệp công nghệ số trong khu công nghệ số tập trung;,[chapter I | article 5 | clause 2 | point a] a) Thu nhập từ dự án hoạt động công nghiệp công nghệ số trong khu công nghệ số tập trung;
chunk:chapter I|article 5|clause 2|point b:1,"b) Thu nhập từ dự án nghiên cứu và phát triển, sản xuất sản phẩm công nghệ số trọng điểm, chip bán dẫn, hệ thống trí tuệ nhân tạo;","[chapter I | article 5 | clause 2 | point b] b) Thu nhập từ dự án nghiên cứu và phát triển, sản xuất sản phẩm công nghệ số trọng điểm, chip bán dẫn, hệ thống trí tuệ nhân tạo;"
chunk:chapter I|article 5|clause 2|point c:1,c) Thu nhập từ các hoạt động đào tạo nhân lực công nghiệp công nghệ số.,[chapter I | article 5 | clause 2 | point c] c) Thu nhập từ các hoạt động đào tạo nhân lực công nghiệp công nghệ số.
chunk:chapter I|article 5|clause 3:1,"3. Miễn thuế thu nhập cá nhân trong thời hạn 05 năm đối với thu nhập từ tiền lương, tiền công của cá nhân là nhân lực công nghệ cao","[chapter I | article 5 | clause 3] 3. Miễn thuế thu nhập cá nhân trong thời hạn 05 năm đối với thu nhập từ tiền lương, tiền công của cá nhân là nhân lực công nghệ cao"
chunk:chapter I|article 5|clause 3:2,nhân lực công nghệ cao thực hiện hoạt động nghiên cứu và phát triển công nghệ cao hoặc công nghệ chiến lược thuộc Danh mục công nghệ cao được ưu,[chapter I | article 5 | clause 3] nhân lực công nghệ cao thực hiện hoạt động nghiên cứu và phát triển công nghệ cao hoặc công nghệ chiến lược thuộc Danh mục công nghệ cao được ưu
chunk:chapter I|article 5|clause 3:3,công nghệ cao được ưu tiên đầu tư phát triển hoặc Danh mục công nghệ chiến lược và sản phẩm công nghệ chiến lược theo quy định của pháp luật,[chapter I | article 5 | clause 3] công nghệ cao được ưu tiên đầu tư phát triển hoặc Danh mục công nghệ chiến lược và sản phẩm công nghệ chiến lược theo quy định của pháp luật
chunk:chapter I|article 5|clause 3:4,quy định của pháp luật về công nghệ cao.,[chapter I | article 5 | clause 3] quy định của pháp luật về công nghệ cao.
chunk:chapter I|article 5|clause 4:1,4. Miễn thuế thu nhập cá nhân đối với chuyển nhượng chứng chỉ quỹ mở thành lập theo quy định của pháp luật về chứng khoán được nắm giữ từ,[chapter I | article 5 | clause 4] 4. Miễn thuế thu nhập cá nhân đối với chuyển nhượng chứng chỉ quỹ mở thành lập theo quy định của pháp luật về chứng khoán được nắm giữ từ
chunk:chapter I|article 5|clause 4:2,khoán được nắm giữ từ 02 năm trở lên kể từ ngày mua.,[chapter I | article 5 | clause 4] khoán được nắm giữ từ 02 năm trở lên kể từ ngày mua.
chunk:chapter I|article 5|clause 5:1,"5. Giảm 50% thuế thu nhập cá nhân đối với lợi tức của nhà đầu tư cá nhân được chia từ quỹ đầu tư chứng khoán, quỹ đầu tư bất","[chapter I | article 5 | clause 5] 5. Giảm 50% thuế thu nhập cá nhân đối với lợi tức của nhà đầu tư cá nhân được chia từ quỹ đầu tư chứng khoán, quỹ đầu tư bất"
chunk:chapter I|article 5|clause 5:2,"khoán, quỹ đầu tư bất động sản thành lập theo quy định của Luật Chứng khoán trong thời hạn do Chính phủ quy định.","[chapter I | article 5 | clause 5] khoán, quỹ đầu tư bất động sản thành lập theo quy định của Luật Chứng khoán trong thời hạn do Chính phủ quy định."
chunk:chapter I|article 5|clause 6:1,6. Chính phủ quy định chi tiết Điều này.,[chapter I | article 5 | clause 6] 6. Chính phủ quy định chi tiết Điều này.
chunk:chapter I|article 6:1,"# **Điều 6. Quản lý thuế đối với thuế thu nhập cá nhân** Căn cứ quy định của Luật này, Chính phủ quy định về kỳ tính thuế theo năm","[chapter I | article 6] # **Điều 6. Quản lý thuế đối với thuế thu nhập cá nhân** Căn cứ quy định của Luật này, Chính phủ quy định về kỳ tính thuế theo năm"
chunk:chapter I|article 6:2,"kỳ tính thuế theo năm đối với thu nhập từ kinh doanh, thu nhập từ tiền lương, tiền công của cá nhân cư trú, kỳ tính thuế theo từng lần","[chapter I | article 6] kỳ tính thuế theo năm đối với thu nhập từ kinh doanh, thu nhập từ tiền lương, tiền công của cá nhân cư trú, kỳ tính thuế theo từng lần"
chunk:chapter I|article 6:3,tính thuế theo từng lần phát sinh đối với các khoản thu nhập khác của cá nhân cư trú và cá nhân không cư trú; thời điểm xác định thu,[chapter I | article 6] tính thuế theo từng lần phát sinh đối với các khoản thu nhập khác của cá nhân cư trú và cá nhân không cư trú; thời điểm xác định thu
chunk:chapter I|article 6:4,thời điểm xác định thu nhập tính thuế; quyết toán thuế; hoàn thuế đối với trường hợp cá nhân có số thuế đã nộp lớn hơn số thuế phải nộp,[chapter I | article 6] thời điểm xác định thu nhập tính thuế; quyết toán thuế; hoàn thuế đối với trường hợp cá nhân có số thuế đã nộp lớn hơn số thuế phải nộp
chunk:chapter I|article 6:5,"hơn số thuế phải nộp hoặc chưa đến mức phải nộp; trách nhiệm khấu trừ, khai thay, nộp thay cho người nộp thuế phù hợp với quy định của Luật","[chapter I | article 6] hơn số thuế phải nộp hoặc chưa đến mức phải nộp; trách nhiệm khấu trừ, khai thay, nộp thay cho người nộp thuế phù hợp với quy định của Luật"
chunk:chapter I|article 6:6,với quy định của Luật Quản lý thuế.,[chapter I | article 6] với quy định của Luật Quản lý thuế.
chunk:chapter II|article 7|clause 1:1,"1. Cá nhân cư trú có hoạt động sản xuất, kinh doanh có mức doanh thu năm từ 500 triệu đồng trở xuống không phải nộp thuế thu nhập cá","[chapter II | article 7 | clause 1] 1. Cá nhân cư trú có hoạt động sản xuất, kinh doanh có mức doanh thu năm từ 500 triệu đồng trở xuống không phải nộp thuế thu nhập cá"
chunk:chapter II|article 7|clause 1:2,nộp thuế thu nhập cá nhân. Chính phủ trình Ủy ban Thường vụ Quốc hội điều chỉnh mức doanh thu không phải nộp thuế thu nhập cá nhân cho phù,[chapter II | article 7 | clause 1] nộp thuế thu nhập cá nhân. Chính phủ trình Ủy ban Thường vụ Quốc hội điều chỉnh mức doanh thu không phải nộp thuế thu nhập cá nhân cho phù
chunk:chapter II|article 7|clause 1:3,nhập cá nhân cho phù hợp với tình hình kinh tế - xã hội trong từng thời kỳ.,[chapter II | article 7 | clause 1] nhập cá nhân cho phù hợp với tình hình kinh tế - xã hội trong từng thời kỳ.
chunk:chapter II|article 7|clause 2|point a:1,"a) Thu nhập tính thuế được xác định bằng doanh thu của hàng hóa, dịch vụ bán ra trừ (-) đi chi phí liên quan đến hoạt động sản xuất,","[chapter II | article 7 | clause 2 | point a] a) Thu nhập tính thuế được xác định bằng doanh thu của hàng hóa, dịch vụ bán ra trừ (-) đi chi phí liên quan đến hoạt động sản xuất,"
chunk:chapter II|article 7|clause 2|point a:2,"đến hoạt động sản xuất, kinh doanh trong kỳ tính thuế;","[chapter II | article 7 | clause 2 | point a] đến hoạt động sản xuất, kinh doanh trong kỳ tính thuế;"
chunk:chapter II|article 7|clause 2|point b:1,b) Cá nhân kinh doanh có doanh thu năm trên mức quy định tại khoản 1 Điều này đến 03 tỷ đồng: thuế suất 15%;,[chapter II | article 7 | clause 2 | point b] b) Cá nhân kinh doanh có doanh thu năm trên mức quy định tại khoản 1 Điều này đến 03 tỷ đồng: thuế suất 15%;
chunk:chapter II|article 7|clause 2|point c:1,c) Cá nhân kinh doanh có doanh thu năm trên 03 tỷ đồng đến 50 tỷ đồng: thuế suất 17%;,[chapter II | article 7 | clause 2 | point c] c) Cá nhân kinh doanh có doanh thu năm trên 03 tỷ đồng đến 50 tỷ đồng: thuế suất 17%;
chunk:chapter II|article 7|clause 2|point d:1,d) Cá nhân kinh doanh có doanh thu năm trên 50 tỷ đồng: thuế suất 20%. Thu nhập từ cho thuê bất động sản quy định tại khoản 4 Điều,[chapter II | article 7 | clause 2 | point d] d) Cá nhân kinh doanh có doanh thu năm trên 50 tỷ đồng: thuế suất 20%. Thu nhập từ cho thuê bất động sản quy định tại khoản 4 Điều
chunk:chapter II|article 7|clause 2|point d:2,định tại khoản 4 Điều này không áp dụng cách tính thuế quy định tại khoản này.,[chapter II | article 7 | clause 2 | point d] định tại khoản 4 Điều này không áp dụng cách tính thuế quy định tại khoản này.
chunk:chapter II|article 7|clause 3|point a:1,a) Doanh thu tính thuế được xác định bằng phần doanh thu vượt trên mức quy định tại khoản 1 Điều này;,[chapter II | article 7 | clause 3 | point a] a) Doanh thu tính thuế được xác định bằng phần doanh thu vượt trên mức quy định tại khoản 1 Điều này;
chunk:chapter II|article 7|clause 3|point b:1,"b) Phân phối, cung cấp hàng hoá: thuế suất 0,5%;","[chapter II | article 7 | clause 3 | point b] b) Phân phối, cung cấp hàng hoá: thuế suất 0,5%;"
chunk:chapter II|article 7|clause 3|point c:1,"c) Dịch vụ, xây dựng không bao thầu nguyên vật liệu: thuế suất 2%. Riêng hoạt động cho thuê tài sản, đại lý bảo hiểm, đại lý xổ số, đại","[chapter II | article 7 | clause 3 | point c] c) Dịch vụ, xây dựng không bao thầu nguyên vật liệu: thuế suất 2%. Riêng hoạt động cho thuê tài sản, đại lý bảo hiểm, đại lý xổ số, đại"
chunk:chapter II|article 7|clause 3|point c:2,"đại lý xổ số, đại lý bán hàng đa cấp: thuế suất 5%;","[chapter II | article 7 | clause 3 | point c] đại lý xổ số, đại lý bán hàng đa cấp: thuế suất 5%;"
chunk:chapter II|article 7|clause 3|point d:1,"d) Sản xuất, vận tải, dịch vụ có gắn với hàng hoá, xây dựng có bao thầu nguyên vật liệu: thuế suất 1,5%;","[chapter II | article 7 | clause 3 | point d] d) Sản xuất, vận tải, dịch vụ có gắn với hàng hoá, xây dựng có bao thầu nguyên vật liệu: thuế suất 1,5%;"
chunk:chapter II|article 7|clause 3|point d:1,"đ) Hoạt động cung cấp sản phẩm và dịch vụ nội dung thông tin số về giải trí, trò chơi điện tử, phim số, ảnh số, nhạc số, quảng cáo","[chapter II | article 7 | clause 3 | point d] đ) Hoạt động cung cấp sản phẩm và dịch vụ nội dung thông tin số về giải trí, trò chơi điện tử, phim số, ảnh số, nhạc số, quảng cáo"
chunk:chapter II|article 7|clause 3|point d:2,"số, nhạc số, quảng cáo số: thuế suất 5%;","[chapter II | article 7 | clause 3 | point d] số, nhạc số, quảng cáo số: thuế suất 5%;"
chunk:chapter II|article 7|clause 3|point e:1,e) Hoạt động kinh doanh khác: thuế suất 1%.,[chapter II | article 7 | clause 3 | point e] e) Hoạt động kinh doanh khác: thuế suất 1%.
chunk:chapter II|article 7|clause 4:1,"4. Cá nhân cho thuê bất động sản, trừ hoạt động kinh doanh lưu trú, nộp thuế thu nhập cá nhân được xác định bằng phần doanh thu vượt trên","[chapter II | article 7 | clause 4] 4. Cá nhân cho thuê bất động sản, trừ hoạt động kinh doanh lưu trú, nộp thuế thu nhập cá nhân được xác định bằng phần doanh thu vượt trên"
chunk:chapter II|article 7|clause 4:2,phần doanh thu vượt trên mức quy định tại khoản 1 Điều này nhân (x) với thuế suất 5%.,[chapter II | article 7 | clause 4] phần doanh thu vượt trên mức quy định tại khoản 1 Điều này nhân (x) với thuế suất 5%.
chunk:chapter II|article 7|clause 5:1,5. Chính phủ quy định chi tiết Điều này.,[chapter II | article 7 | clause 5] 5. Chính phủ quy định chi tiết Điều này.
chunk:chapter II|article 8|clause 1:1,"1. Thuế thu nhập cá nhân đối với thu nhập từ tiền lương, tiền công của cá nhân cư trú được xác định bằng thu nhập tính thuế quy định","[chapter II | article 8 | clause 1] 1. Thuế thu nhập cá nhân đối với thu nhập từ tiền lương, tiền công của cá nhân cư trú được xác định bằng thu nhập tính thuế quy định"
chunk:chapter II|article 8|clause 1:2,"nhập tính thuế quy định tại khoản 2 Điều này, không phân biệt nơi trả thu nhập, nhân (x) với thuế suất tại Biểu thuế lũy tiến từng phần quy","[chapter II | article 8 | clause 1] nhập tính thuế quy định tại khoản 2 Điều này, không phân biệt nơi trả thu nhập, nhân (x) với thuế suất tại Biểu thuế lũy tiến từng phần quy"
chunk:chapter II|article 8|clause 1:3,lũy tiến từng phần quy định tại Điều 9 của Luật này.,[chapter II | article 8 | clause 1] lũy tiến từng phần quy định tại Điều 9 của Luật này.
chunk:chapter II|article 8|clause 2:1,"2. Thu nhập tính thuế đối với thu nhập từ tiền lương, tiền công là tổng thu nhập chịu thuế quy định tại khoản 2 Điều 3 của Luật này","[chapter II | article 8 | clause 2] 2. Thu nhập tính thuế đối với thu nhập từ tiền lương, tiền công là tổng thu nhập chịu thuế quy định tại khoản 2 Điều 3 của Luật này"
chunk:chapter II|article 8|clause 2:2,"Điều 3 của Luật này mà người nộp thuế nhận được trong kỳ tính thuế, trừ (-) đi các khoản đóng góp bảo hiểm xã hội, bảo hiểm y tế,","[chapter II | article 8 | clause 2] Điều 3 của Luật này mà người nộp thuế nhận được trong kỳ tính thuế, trừ (-) đi các khoản đóng góp bảo hiểm xã hội, bảo hiểm y tế,"
chunk:chapter II|article 8|clause 2:3,"hội, bảo hiểm y tế, bảo hiểm thất nghiệp, bảo hiểm trách nhiệm nghề nghiệp đối với một số ngành, nghề phải tham gia bảo hiểm bắt buộc, khoản đóng","[chapter II | article 8 | clause 2] hội, bảo hiểm y tế, bảo hiểm thất nghiệp, bảo hiểm trách nhiệm nghề nghiệp đối với một số ngành, nghề phải tham gia bảo hiểm bắt buộc, khoản đóng"
chunk:chapter II|article 8|clause 2:4,"hiểm bắt buộc, khoản đóng góp tham gia bảo hiểm hưu trí bổ sung theo quy định của Luật Bảo hiểm xã hội, mua bảo hiểm hưu trí tự nguyện,","[chapter II | article 8 | clause 2] hiểm bắt buộc, khoản đóng góp tham gia bảo hiểm hưu trí bổ sung theo quy định của Luật Bảo hiểm xã hội, mua bảo hiểm hưu trí tự nguyện,"
chunk:chapter II|article 8|clause 2:5,"hiểm hưu trí tự nguyện, bảo hiểm nhân thọ không vượt quá mức do Chính phủ quy định và các khoản giảm trừ quy định tại Điều 10 và Điều","[chapter II | article 8 | clause 2] hiểm hưu trí tự nguyện, bảo hiểm nhân thọ không vượt quá mức do Chính phủ quy định và các khoản giảm trừ quy định tại Điều 10 và Điều"
chunk:chapter II|article 8|clause 2:6,tại Điều 10 và Điều 11 của Luật này.,[chapter II | article 8 | clause 2] tại Điều 10 và Điều 11 của Luật này.
chunk:chapter II|article 8|clause 3:1,"3. Thời điểm xác định thu nhập tính thuế từ tiền lương, tiền công là thời điểm tổ chức, cá nhân trả thu nhập cho người nộp thuế hoặc thời","[chapter II | article 8 | clause 3] 3. Thời điểm xác định thu nhập tính thuế từ tiền lương, tiền công là thời điểm tổ chức, cá nhân trả thu nhập cho người nộp thuế hoặc thời"
chunk:chapter II|article 8|clause 3:2,người nộp thuế hoặc thời điểm người nộp thuế nhận được thu nhập.,[chapter II | article 8 | clause 3] người nộp thuế hoặc thời điểm người nộp thuế nhận được thu nhập.
chunk:chapter II|article 9|clause 1:1,1. Biểu thuế luỹ tiến từng phần áp dụng đối với thu nhập tính thuế quy định tại khoản 2 Điều 8 của Luật này.,[chapter II | article 9 | clause 1] 1. Biểu thuế luỹ tiến từng phần áp dụng đối với thu nhập tính thuế quy định tại khoản 2 Điều 8 của Luật này.
chunk:chapter II|article 9|clause 2:1,2. Biểu thuế luỹ tiến từng phần được quy định như sau: |Bậc thuế|Phần thu nhập tính thuế/năm<br>(triệu đồng)|Phần thu nhập tính<br>thuế/tháng<br>(triệu đồng)|Thuế suất (%)| |---|---|---|---| |1|Đến 120|Đến 10|5| |2|Trên,[chapter II | article 9 | clause 2] 2. Biểu thuế luỹ tiến từng phần được quy định như sau: |Bậc thuế|Phần thu nhập tính thuế/năm<br>(triệu đồng)|Phần thu nhập tính<br>thuế/tháng<br>(triệu đồng)|Thuế suất (%)| |---|---|---|---| |1|Đến 120|Đến 10|5| |2|Trên
chunk:chapter II|article 9|clause 2:2,|---|---|---|---| |1|Đến 120|Đến 10|5| |2|Trên 120 đến 360|Trên 10 đến 30|10| |3|Trên 360 đến 720|Trên 30 đến 60|20| |4|Trên 720 đến 1.200|Trên 60 đến 100|30| |5|Trên 1.200|Trên 100|35|,[chapter II | article 9 | clause 2] |---|---|---|---| |1|Đến 120|Đến 10|5| |2|Trên 120 đến 360|Trên 10 đến 30|10| |3|Trên 360 đến 720|Trên 30 đến 60|20| |4|Trên 720 đến 1.200|Trên 60 đến 100|30| |5|Trên 1.200|Trên 100|35|
chunk:chapter II|article 10|clause 1|point a:1,"a) Mức giảm trừ đối với người nộp thuế là 15,5 triệu đồng/tháng (186 triệu đồng/năm);","[chapter II | article 10 | clause 1 | point a] a) Mức giảm trừ đối với người nộp thuế là 15,5 triệu đồng/tháng (186 triệu đồng/năm);"
chunk:chapter II|article 10|clause 1|point b:1,"b) Mức giảm trừ đối với mỗi người phụ thuộc là 6,2 triệu đồng/tháng.","[chapter II | article 10 | clause 1 | point b] b) Mức giảm trừ đối với mỗi người phụ thuộc là 6,2 triệu đồng/tháng."
chunk:chapter II|article 10|clause 2:1,"2. Căn cứ biến động của giá cả, thu nhập, Chính phủ trình Ủy ban Thường vụ Quốc hội quy định mức giảm trừ gia cảnh quy định tại khoản","[chapter II | article 10 | clause 2] 2. Căn cứ biến động của giá cả, thu nhập, Chính phủ trình Ủy ban Thường vụ Quốc hội quy định mức giảm trừ gia cảnh quy định tại khoản"
chunk:chapter II|article 10|clause 2:2,cảnh quy định tại khoản 1 Điều này phù hợp với tình hình kinh tế - xã hội trong từng thời kỳ.,[chapter II | article 10 | clause 2] cảnh quy định tại khoản 1 Điều này phù hợp với tình hình kinh tế - xã hội trong từng thời kỳ.
chunk:chapter II|article 10|clause 3:1,3. Việc xác định mức giảm trừ gia cảnh đối với người phụ thuộc thực hiện theo nguyên tắc mỗi người phụ thuộc chỉ được tính giảm trừ một lần,[chapter II | article 10 | clause 3] 3. Việc xác định mức giảm trừ gia cảnh đối với người phụ thuộc thực hiện theo nguyên tắc mỗi người phụ thuộc chỉ được tính giảm trừ một lần
chunk:chapter II|article 10|clause 3:2,tính giảm trừ một lần vào một người nộp thuế.,[chapter II | article 10 | clause 3] tính giảm trừ một lần vào một người nộp thuế.
chunk:chapter II|article 10|clause 4|point a:1,"a) Con chưa thành niên; con là người mất năng lực hành vi dân sự, người khuyết tật, không có khả năng lao động;","[chapter II | article 10 | clause 4 | point a] a) Con chưa thành niên; con là người mất năng lực hành vi dân sự, người khuyết tật, không có khả năng lao động;"
chunk:chapter II|article 10|clause 4|point b:1,"b) Các cá nhân không có thu nhập hoặc có thu nhập không vượt quá mức do Bộ trưởng Bộ Tài chính quy định, bao gồm con thành niên đang","[chapter II | article 10 | clause 4 | point b] b) Các cá nhân không có thu nhập hoặc có thu nhập không vượt quá mức do Bộ trưởng Bộ Tài chính quy định, bao gồm con thành niên đang"
chunk:chapter II|article 10|clause 4|point b:2,"gồm con thành niên đang học đại học, cao đẳng, trung học chuyên nghiệp hoặc học nghề; vợ hoặc chồng không có khả năng lao động; bố, mẹ đã hết","[chapter II | article 10 | clause 4 | point b] gồm con thành niên đang học đại học, cao đẳng, trung học chuyên nghiệp hoặc học nghề; vợ hoặc chồng không có khả năng lao động; bố, mẹ đã hết"
chunk:chapter II|article 10|clause 4|point b:3,"động; bố, mẹ đã hết tuổi lao động hoặc không có khả năng lao động; những người khác không nơi nương tựa mà người nộp thuế phải trực tiếp nuôi","[chapter II | article 10 | clause 4 | point b] động; bố, mẹ đã hết tuổi lao động hoặc không có khả năng lao động; những người khác không nơi nương tựa mà người nộp thuế phải trực tiếp nuôi"
chunk:chapter II|article 10|clause 4|point b:4,thuế phải trực tiếp nuôi dưỡng.,[chapter II | article 10 | clause 4 | point b] thuế phải trực tiếp nuôi dưỡng.
chunk:chapter II|article 11|clause 1|point a:1,"a) Khoản đóng góp vào tổ chức, cơ sở chăm sóc, nuôi dưỡng trẻ em có hoàn cảnh đặc biệt khó khăn, người khuyết tật, người già không nơi nương","[chapter II | article 11 | clause 1 | point a] a) Khoản đóng góp vào tổ chức, cơ sở chăm sóc, nuôi dưỡng trẻ em có hoàn cảnh đặc biệt khó khăn, người khuyết tật, người già không nơi nương"
chunk:chapter II|article 11|clause 1|point a:2,người già không nơi nương tựa;,[chapter II | article 11 | clause 1 | point a] người già không nơi nương tựa;
chunk:chapter II|article 11|clause 1|point b:1,"b) Khoản đóng góp vào quỹ từ thiện, quỹ nhân đạo, quỹ khuyến học;","[chapter II | article 11 | clause 1 | point b] b) Khoản đóng góp vào quỹ từ thiện, quỹ nhân đạo, quỹ khuyến học;"
chunk:chapter II|article 11|clause 1|point c:1,"c) Khoản đóng góp vào các tổ chức có chức năng huy động tài trợ được thành lập và hoạt động theo quy định của pháp luật. Tổ chức, cơ","[chapter II | article 11 | clause 1 | point c] c) Khoản đóng góp vào các tổ chức có chức năng huy động tài trợ được thành lập và hoạt động theo quy định của pháp luật. Tổ chức, cơ"
chunk:chapter II|article 11|clause 1|point c:2,"pháp luật. Tổ chức, cơ sở và các quỹ quy định tại khoản này phải được cơ quan nhà nước có thẩm quyền cho phép thành lập hoặc công nhận,","[chapter II | article 11 | clause 1 | point c] pháp luật. Tổ chức, cơ sở và các quỹ quy định tại khoản này phải được cơ quan nhà nước có thẩm quyền cho phép thành lập hoặc công nhận,"
chunk:chapter II|article 11|clause 1|point c:3,"thành lập hoặc công nhận, hoạt động vì mục đích từ thiện, nhân đạo, khuyến học, không vì mục tiêu lợi nhuận.","[chapter II | article 11 | clause 1 | point c] thành lập hoặc công nhận, hoạt động vì mục đích từ thiện, nhân đạo, khuyến học, không vì mục tiêu lợi nhuận."
chunk:chapter II|article 11|clause 2:1,"2. Khoản chi cho y tế, giáo dục - đào tạo của người nộp thuế, người phụ thuộc của người nộp thuế được giảm trừ vào thu nhập trước khi","[chapter II | article 11 | clause 2] 2. Khoản chi cho y tế, giáo dục - đào tạo của người nộp thuế, người phụ thuộc của người nộp thuế được giảm trừ vào thu nhập trước khi"
chunk:chapter II|article 11|clause 2:2,vào thu nhập trước khi tính thuế theo mức do Chính phủ quy định.,[chapter II | article 11 | clause 2] vào thu nhập trước khi tính thuế theo mức do Chính phủ quy định.
chunk:chapter II|article 11|clause 3:1,"3. Các khoản chi quy định tại Điều này phải đáp ứng các điều kiện về hóa đơn, chứng từ theo quy định của pháp luật và không được chi","[chapter II | article 11 | clause 3] 3. Các khoản chi quy định tại Điều này phải đáp ứng các điều kiện về hóa đơn, chứng từ theo quy định của pháp luật và không được chi"
chunk:chapter II|article 11|clause 3:2,luật và không được chi trả từ các nguồn khác.,[chapter II | article 11 | clause 3] luật và không được chi trả từ các nguồn khác.
chunk:chapter II|article 11|clause 4:1,4. Chính phủ quy định chi tiết Điều này.,[chapter II | article 11 | clause 4] 4. Chính phủ quy định chi tiết Điều này.
chunk:chapter II|article 12|clause 1:1,1. Thuế đối với thu nhập từ đầu tư vốn của cá nhân cư trú được xác định bằng thu nhập tính thuế nhân (x) với thuế suất 5%.,[chapter II | article 12 | clause 1] 1. Thuế đối với thu nhập từ đầu tư vốn của cá nhân cư trú được xác định bằng thu nhập tính thuế nhân (x) với thuế suất 5%.
chunk:chapter II|article 12|clause 2:1,2. Thu nhập tính thuế từ đầu tư vốn là tổng số các khoản thu nhập chịu thuế từ đầu tư vốn quy định tại khoản 3 Điều 3 của,[chapter II | article 12 | clause 2] 2. Thu nhập tính thuế từ đầu tư vốn là tổng số các khoản thu nhập chịu thuế từ đầu tư vốn quy định tại khoản 3 Điều 3 của
chunk:chapter II|article 12|clause 2:2,khoản 3 Điều 3 của Luật này mà người nộp thuế nhận được theo từng lần phát sinh.,[chapter II | article 12 | clause 2] khoản 3 Điều 3 của Luật này mà người nộp thuế nhận được theo từng lần phát sinh.
chunk:chapter II|article 12|clause 3:1,"3. Thời điểm xác định thu nhập tính thuế từ đầu tư vốn là thời điểm tổ chức, cá nhân trả thu nhập cho người nộp thuế hoặc thời điểm","[chapter II | article 12 | clause 3] 3. Thời điểm xác định thu nhập tính thuế từ đầu tư vốn là thời điểm tổ chức, cá nhân trả thu nhập cho người nộp thuế hoặc thời điểm"
chunk:chapter II|article 12|clause 3:2,nộp thuế hoặc thời điểm người nộp thuế nhận được thu nhập.,[chapter II | article 12 | clause 3] nộp thuế hoặc thời điểm người nộp thuế nhận được thu nhập.
chunk:chapter II|article 12|clause 4:1,4. Chính phủ quy định chi tiết Điều này.,[chapter II | article 12 | clause 4] 4. Chính phủ quy định chi tiết Điều này.
chunk:chapter II|article 13|clause 1:1,1. Thuế thu nhập cá nhân đối với thu nhập từ chuyển nhượng vốn của cá nhân cư trú được xác định bằng thu nhập tính thuế nhân (x) với,[chapter II | article 13 | clause 1] 1. Thuế thu nhập cá nhân đối với thu nhập từ chuyển nhượng vốn của cá nhân cư trú được xác định bằng thu nhập tính thuế nhân (x) với
chunk:chapter II|article 13|clause 1:2,"tính thuế nhân (x) với thuế suất 20% theo từng lần chuyển nhượng. Trong đó, thu nhập tính thuế từ chuyển nhượng vốn được xác định bằng giá chuyển nhượng","[chapter II | article 13 | clause 1] tính thuế nhân (x) với thuế suất 20% theo từng lần chuyển nhượng. Trong đó, thu nhập tính thuế từ chuyển nhượng vốn được xác định bằng giá chuyển nhượng"
chunk:chapter II|article 13|clause 1:3,định bằng giá chuyển nhượng trừ (-) đi giá mua và các khoản chi phí hợp lý liên quan đến việc tạo ra thu nhập từ chuyển nhượng vốn. Trường,[chapter II | article 13 | clause 1] định bằng giá chuyển nhượng trừ (-) đi giá mua và các khoản chi phí hợp lý liên quan đến việc tạo ra thu nhập từ chuyển nhượng vốn. Trường
chunk:chapter II|article 13|clause 1:4,từ chuyển nhượng vốn. Trường hợp không xác định giá mua và các chi phí liên quan đến việc chuyển nhượng vốn thì thuế thu nhập cá nhân được xác,[chapter II | article 13 | clause 1] từ chuyển nhượng vốn. Trường hợp không xác định giá mua và các chi phí liên quan đến việc chuyển nhượng vốn thì thuế thu nhập cá nhân được xác
chunk:chapter II|article 13|clause 1:5,nhập cá nhân được xác định bằng giá chuyển nhượng nhân (x) với thuế suất 2%.,[chapter II | article 13 | clause 1] nhập cá nhân được xác định bằng giá chuyển nhượng nhân (x) với thuế suất 2%.
chunk:chapter II|article 13|clause 2:1,"2. Thuế thu nhập cá nhân đối với thu nhập từ chuyển nhượng chứng khoán được xác định bằng giá chuyển nhượng nhân (x) với thuế suất 0,1% theo từng","[chapter II | article 13 | clause 2] 2. Thuế thu nhập cá nhân đối với thu nhập từ chuyển nhượng chứng khoán được xác định bằng giá chuyển nhượng nhân (x) với thuế suất 0,1% theo từng"
chunk:chapter II|article 13|clause 2:2,"thuế suất 0,1% theo từng lần chuyển nhượng.","[chapter II | article 13 | clause 2] thuế suất 0,1% theo từng lần chuyển nhượng."
chunk:chapter II|article 13|clause 3:1,3. Thời điểm xác định thu nhập tính thuế là thời điểm giao dịch hoàn thành theo quy định của pháp luật.,[chapter II | article 13 | clause 3] 3. Thời điểm xác định thu nhập tính thuế là thời điểm giao dịch hoàn thành theo quy định của pháp luật.
